powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled
12_2201600_522750000_3199000000,50.95505714416504,4.0,25.694,25.0,-1.0,0.5,100.0,4_1651200_726750000_3199000000,30.474303245544437,4.0,23.5275,0.0,True,0.05095505714416504
12_2201600_522750000_3199000000,50.95505714416504,4.0,25.694,26.0,-1.0,0.5,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.05095505714416504
12_2201600_522750000_3199000000,50.95505714416504,4.0,25.694,27.0,-1.0,0.5,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.05095505714416504
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,28.0,-1.0,0.5,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,29.0,-1.0,0.5,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,30.0,-1.0,0.5,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,31.0,-1.0,0.5,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,32.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,33.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,34.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,35.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,36.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,37.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,38.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,39.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,40.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,41.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,42.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,43.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,44.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,45.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,46.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,47.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,48.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,49.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,50.0,-1.0,0.5,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
,,,,10.0,,0.6,100.0,,,,,,True,
,,,,11.0,,0.6,100.0,,,,,,True,
,,,,12.0,,0.6,100.0,,,,,,True,
,,,,13.0,,0.6,100.0,,,,,,True,
,,,,14.0,,0.6,100.0,,,,,,True,
,,,,15.0,,0.6,100.0,,,,,,True,
,,,,16.0,,0.6,100.0,,,,,,True,
,,,,17.0,,0.6,100.0,,,,,,True,
,,,,18.0,,0.6,100.0,,,,,,True,
,,,,19.0,,0.6,100.0,,,,,,True,
,,,,20.0,,0.6,100.0,,,,,,True,
,,,,21.0,,0.6,100.0,4_729600_726750000_2133000000,119.46371078491212,16.0,20.47,0.0,True,
8_1651200_726750000_2133000000,47.14298248291016,4.0,22.39,22.0,-1.0,0.6,100.0,12_1036800_726750000_2133000000,36.74880027770996,4.0,21.921,0.0,True,0.04714298248291016
8_1651200_726750000_2133000000,47.14298248291016,4.0,22.39,23.0,-1.0,0.6,100.0,12_1036800_726750000_2133000000,36.74880027770996,4.0,21.921,0.0,True,0.04714298248291016
12_1958400_522750000_3199000000,50.36783218383789,4.0,23.791,24.0,-1.0,0.6,100.0,4_1651200_726750000_3199000000,30.474303245544437,4.0,23.5275,0.0,True,0.05036783218383789
12_2201600_522750000_3199000000,50.95505714416504,4.0,25.694,25.0,-1.0,0.6,100.0,4_1651200_726750000_3199000000,30.474303245544437,4.0,23.5275,0.0,True,0.05095505714416504
12_2201600_522750000_3199000000,50.95505714416504,4.0,25.694,26.0,-1.0,0.6,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.05095505714416504
12_2201600_522750000_3199000000,50.95505714416504,4.0,25.694,27.0,-1.0,0.6,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.05095505714416504
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,28.0,-1.0,0.6,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,29.0,-1.0,0.6,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,30.0,-1.0,0.6,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,31.0,-1.0,0.6,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,32.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,33.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,34.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,35.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,36.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,37.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,38.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,39.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,40.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,41.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,42.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,43.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,44.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,45.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,46.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,47.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,48.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,49.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,50.0,-1.0,0.6,100.0,8_1958400_930750000_3199000000,23.40299129486084,4.0,31.5945,0.0,True,0.041332364082336426
,,,,10.0,,0.7,100.0,,,,,,True,
,,,,11.0,,0.7,100.0,,,,,,True,
,,,,12.0,,0.7,100.0,,,,,,True,
,,,,13.0,,0.7,100.0,,,,,,True,
,,,,14.0,,0.7,100.0,,,,,,True,
,,,,15.0,,0.7,100.0,,,,,,True,
,,,,16.0,,0.7,100.0,,,,,,True,
,,,,17.0,,0.7,100.0,,,,,,True,
,,,,18.0,,0.7,100.0,,,,,,True,
,,,,19.0,,0.7,100.0,,,,,,True,
,,,,20.0,,0.7,100.0,,,,,,True,
,,,,21.0,,0.7,100.0,4_729600_726750000_2133000000,119.46371078491212,16.0,20.47,0.0,True,
8_1651200_726750000_2133000000,47.14298248291016,4.0,22.39,22.0,-1.0,0.7,100.0,12_1036800_726750000_2133000000,36.74880027770996,4.0,21.921,0.0,True,0.04714298248291016
8_1651200_726750000_2133000000,47.14298248291016,4.0,22.39,23.0,-1.0,0.7,100.0,12_1036800_726750000_2133000000,36.74880027770996,4.0,21.921,0.0,True,0.04714298248291016
12_1958400_522750000_3199000000,50.36783218383789,4.0,23.791,24.0,-1.0,0.7,100.0,4_1651200_726750000_3199000000,30.474303245544437,4.0,23.5275,0.0,True,0.05036783218383789
12_2201600_522750000_3199000000,50.95505714416504,4.0,25.694,25.0,-1.0,0.7,100.0,4_1651200_726750000_3199000000,30.474303245544437,4.0,23.5275,0.0,True,0.05095505714416504
12_2201600_522750000_3199000000,50.95505714416504,4.0,25.694,26.0,-1.0,0.7,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.05095505714416504
12_2201600_522750000_3199000000,50.95505714416504,4.0,25.694,27.0,-1.0,0.7,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.05095505714416504
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,28.0,-1.0,0.7,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.041332364082336426
12_2201600_726750000_3199000000,41.332364082336426,4.0,27.889,29.0,-1.0,0.7,100.0,4_1651200_1300500000_2133000000,29.11510467529297,4.0,25.32,0.0,True,0.041332364082336426
