power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2
24,12_2201600_522750000_3199000000,1.0,2.601263999938965,23.163,0.06,30,1,8_1958400_930750000_3199000000,1,2.190736055374145,25.074,1,False,0.002190736055374145,0.035524069388707474,0.06572208166122434
25,4_1958400_930750000_3199000000,1.0,2.218832015991211,24.579,0.06,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,False,0.002245743989944458,0.035579077323277794,0.06737231969833374
26,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.06,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,True,0.002245743989944458,0.035579077323277794,0.06737231969833374
27,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.06,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,True,0.002245743989944458,0.035579077323277794,0.06737231969833374
28,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.06,30,1,12_1958400_318750000_2133000000,1,2.2348960638046265,27.78,1,True,0.0022348960638046266,0.03556822939713796,0.0670468819141388
29,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
30,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
31,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
32,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
33,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
34,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
35,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
36,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
37,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
38,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
39,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
40,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
41,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
42,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
43,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
44,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
45,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
46,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
47,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
48,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
49,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
50,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
10,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
11,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
12,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
13,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
14,12_422400_114750000_665600000,1.0,11.383920192718506,13.59,0.07,30,1,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
15,8_729600_318750000_665600000,1.0,6.139024019241333,14.103,0.07,30,1,8_729600_318750000_665600000,1,6.139024019241333,14.103,1,True,0.006139024019241333,0.039472357352574663,0.18417072057724
16,8_729600_318750000_665600000,1.0,6.139024019241333,14.103,0.07,30,1,4_1651200_318750000_665600000,1,4.306319952011108,16.219,1,True,0.004306319952011108,0.03763965328534444,0.12918959856033324
17,12_1958400_318750000_665600000,1.0,4.116288185119629,16.818,0.07,30,1,12_1958400_318750000_665600000,1,4.116288185119629,16.818,1,True,0.004116288185119629,0.037449621518452963,0.12348864555358886
18,4_1651200_726750000_665600000,1.0,3.9901119470596313,17.528,0.07,30,1,12_1958400_318750000_665600000,1,4.116288185119629,16.818,1,True,0.004116288185119629,0.037449621518452963,0.12348864555358886
19,12_1036800_522750000_3199000000,1.0,3.809664011001587,18.737,0.07,30,1,4_1344000_522750000_3199000000,1,3.3120639324188232,19.041,1,True,0.003312063932418823,0.03664539726575215,0.09936191797256469
20,4_1344000_522750000_3199000000,1.0,3.3120639324188232,19.041,0.07,30,1,4_1344000_522750000_3199000000,1,3.3120639324188232,19.041,1,True,0.003312063932418823,0.03664539726575215,0.09936191797256469
21,12_1344000_726750000_3199000000,1.0,3.0003679990768437,20.751,0.07,30,1,12_1344000_726750000_3199000000,1,3.000367999076844,20.751,1,True,0.003000367999076844,0.03633370133241018,0.09001103997230532
22,4_1651200_726750000_3199000000,1.0,2.639871954917908,21.456,0.07,30,1,4_1651200_726750000_3199000000,1,2.639871954917908,21.456,1,True,0.002639871954917908,0.035973205288251243,0.07919615864753723
23,4_1651200_726750000_3199000000,1.0,2.639871954917908,21.456,0.07,30,1,12_2201600_522750000_3199000000,1,2.601263999938965,23.163,1,True,0.002601263999938965,0.0359345973332723,0.07803791999816895
24,12_2201600_522750000_3199000000,1.0,2.601263999938965,23.163,0.07,30,1,8_1958400_930750000_3199000000,1,2.190736055374145,25.074,1,False,0.002190736055374145,0.035524069388707474,0.06572208166122434
25,4_1958400_930750000_3199000000,1.0,2.218832015991211,24.579,0.07,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,False,0.002245743989944458,0.035579077323277794,0.06737231969833374
26,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.07,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,True,0.002245743989944458,0.035579077323277794,0.06737231969833374
27,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.07,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,True,0.002245743989944458,0.035579077323277794,0.06737231969833374
28,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.07,30,1,12_1958400_318750000_2133000000,1,2.2348960638046265,27.78,1,True,0.0022348960638046266,0.03556822939713796,0.0670468819141388
29,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
30,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
31,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
32,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
33,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
34,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
35,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
36,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
37,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
38,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
39,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
40,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
41,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
42,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
43,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
44,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
45,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
46,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
47,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
48,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
49,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
50,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
10,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
11,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
12,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
13,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
14,12_422400_114750000_665600000,1.0,11.383920192718506,13.59,0.08,30,1,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
15,8_729600_318750000_665600000,1.0,6.139024019241333,14.103,0.08,30,1,8_729600_318750000_665600000,1,6.139024019241333,14.103,1,True,0.006139024019241333,0.039472357352574663,0.18417072057724
16,8_729600_318750000_665600000,1.0,6.139024019241333,14.103,0.08,30,1,4_1651200_318750000_665600000,1,4.306319952011108,16.219,1,True,0.004306319952011108,0.03763965328534444,0.12918959856033324
17,12_1958400_318750000_665600000,1.0,4.116288185119629,16.818,0.08,30,1,12_1958400_318750000_665600000,1,4.116288185119629,16.818,1,True,0.004116288185119629,0.037449621518452963,0.12348864555358886
18,4_1651200_726750000_665600000,1.0,3.9901119470596313,17.528,0.08,30,1,12_1958400_318750000_665600000,1,4.116288185119629,16.818,1,True,0.004116288185119629,0.037449621518452963,0.12348864555358886
19,12_1036800_522750000_3199000000,1.0,3.809664011001587,18.737,0.08,30,1,4_1344000_522750000_3199000000,1,3.3120639324188232,19.041,1,True,0.003312063932418823,0.03664539726575215,0.09936191797256469
20,4_1344000_522750000_3199000000,1.0,3.3120639324188232,19.041,0.08,30,1,4_1344000_522750000_3199000000,1,3.3120639324188232,19.041,1,True,0.003312063932418823,0.03664539726575215,0.09936191797256469
21,12_1344000_726750000_3199000000,1.0,3.0003679990768437,20.751,0.08,30,1,12_1344000_726750000_3199000000,1,3.000367999076844,20.751,1,True,0.003000367999076844,0.03633370133241018,0.09001103997230532
22,4_1651200_726750000_3199000000,1.0,2.639871954917908,21.456,0.08,30,1,4_1651200_726750000_3199000000,1,2.639871954917908,21.456,1,True,0.002639871954917908,0.035973205288251243,0.07919615864753723
23,4_1651200_726750000_3199000000,1.0,2.639871954917908,21.456,0.08,30,1,12_2201600_522750000_3199000000,1,2.601263999938965,23.163,1,True,0.002601263999938965,0.0359345973332723,0.07803791999816895
24,12_2201600_522750000_3199000000,1.0,2.601263999938965,23.163,0.08,30,1,8_1958400_930750000_3199000000,1,2.190736055374145,25.074,1,False,0.002190736055374145,0.035524069388707474,0.06572208166122434
25,4_1958400_930750000_3199000000,1.0,2.218832015991211,24.579,0.08,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,False,0.002245743989944458,0.035579077323277794,0.06737231969833374
26,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.08,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,True,0.002245743989944458,0.035579077323277794,0.06737231969833374
27,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.08,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,True,0.002245743989944458,0.035579077323277794,0.06737231969833374
28,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.08,30,1,12_1958400_318750000_2133000000,1,2.2348960638046265,27.78,1,True,0.0022348960638046266,0.03556822939713796,0.0670468819141388
29,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
30,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
31,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
32,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
33,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
34,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
35,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
36,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
37,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
38,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
39,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
40,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
41,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
42,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
43,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
44,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
45,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
46,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
47,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
48,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
49,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
50,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.08,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
10,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
11,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
12,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
13,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
14,12_422400_114750000_665600000,1.0,11.383920192718506,13.59,0.09,30,1,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,2.1355710934003196,0.06713280200958252
15,8_729600_318750000_665600000,1.0,6.139024019241333,14.103,0.09,30,1,8_729600_318750000_665600000,1,6.139024019241333,14.103,1,True,0.006139024019241333,0.039472357352574663,0.18417072057724
16,8_729600_318750000_665600000,1.0,6.139024019241333,14.103,0.09,30,1,4_1651200_318750000_665600000,1,4.306319952011108,16.219,1,True,0.004306319952011108,0.03763965328534444,0.12918959856033324
17,12_1958400_318750000_665600000,1.0,4.116288185119629,16.818,0.09,30,1,12_1958400_318750000_665600000,1,4.116288185119629,16.818,1,True,0.004116288185119629,0.037449621518452963,0.12348864555358886
18,4_1651200_726750000_665600000,1.0,3.9901119470596313,17.528,0.09,30,1,12_1958400_318750000_665600000,1,4.116288185119629,16.818,1,True,0.004116288185119629,0.037449621518452963,0.12348864555358886
19,12_1036800_522750000_3199000000,1.0,3.809664011001587,18.737,0.09,30,1,4_1344000_522750000_3199000000,1,3.3120639324188232,19.041,1,True,0.003312063932418823,0.03664539726575215,0.09936191797256469
20,4_1344000_522750000_3199000000,1.0,3.3120639324188232,19.041,0.09,30,1,4_1344000_522750000_3199000000,1,3.3120639324188232,19.041,1,True,0.003312063932418823,0.03664539726575215,0.09936191797256469
21,12_1344000_726750000_3199000000,1.0,3.0003679990768437,20.751,0.09,30,1,12_1344000_726750000_3199000000,1,3.000367999076844,20.751,1,True,0.003000367999076844,0.03633370133241018,0.09001103997230532
22,4_1651200_726750000_3199000000,1.0,2.639871954917908,21.456,0.09,30,1,4_1651200_726750000_3199000000,1,2.639871954917908,21.456,1,True,0.002639871954917908,0.035973205288251243,0.07919615864753723
23,4_1651200_726750000_3199000000,1.0,2.639871954917908,21.456,0.09,30,1,12_2201600_522750000_3199000000,1,2.601263999938965,23.163,1,True,0.002601263999938965,0.0359345973332723,0.07803791999816895
24,12_2201600_522750000_3199000000,1.0,2.601263999938965,23.163,0.09,30,1,8_1958400_930750000_3199000000,1,2.190736055374145,25.074,1,False,0.002190736055374145,0.035524069388707474,0.06572208166122434
25,4_1958400_930750000_3199000000,1.0,2.218832015991211,24.579,0.09,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,False,0.002245743989944458,0.035579077323277794,0.06737231969833374
26,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.09,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,True,0.002245743989944458,0.035579077323277794,0.06737231969833374
27,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.09,30,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,True,0.002245743989944458,0.035579077323277794,0.06737231969833374
28,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.09,30,1,12_1958400_318750000_2133000000,1,2.2348960638046265,27.78,1,True,0.0022348960638046266,0.03556822939713796,0.0670468819141388
29,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
30,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
31,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
32,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
33,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
34,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
35,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
36,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.09,30,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.03544216533501943,0.0632649600505829
